activity_date,dau,wau,mau,dau_mau_stickiness,total_observations,active_guild_members,guild_member_share,avg_observations_per_avatar,avg_level,avg_level_gain_day,total_level_gain_day,new_avatars,returning_avatars,reactivated_avatars_30d
2005-12-31,13,13,13,1.0,13,6,0.46153846153846156,1.0,17.615384615384617,0.0,0,13,0,0
2006-01-01,1642,1642,1642,1.0,48668,574,0.34957369062119364,29.639464068209502,34.45432399512789,0.6577344701583435,1080,1629,13,0
2006-01-02,1538,2054,2054,0.7487828627069133,38100,505,0.3283485045513654,24.772431729518857,35.01430429128739,0.5884265279583876,905,412,1126,0
2006-01-03,1515,2325,2325,0.6516129032258065,37047,510,0.33663366336633666,24.453465346534653,35.0013201320132,0.5966996699669967,904,271,1244,0
2006-01-04,1545,2539,2539,0.6085072863332021,36085,494,0.31974110032362457,23.355987055016183,35.14239482200647,0.4854368932038835,750,214,1331,0
2006-01-05,1250,2642,2642,0.47312641937925815,19372,71,0.0568,15.4976,38.572,0.364,455,103,1147,0
2006-01-06,1481,2820,2820,0.525177304964539,35517,0,0.0,23.98176907494936,36.67386900742741,0.550303848750844,815,178,1303,0
2006-01-07,1403,2948,2948,0.47591587516960654,31453,0,0.0,22.4183891660727,36.96364932287955,0.5424091233071988,761,128,1275,0
2006-01-08,1676,2943,3151,0.5318946366232942,48613,0,0.0,29.005369928400956,34.13305489260143,0.6610978520286396,1108,203,1473,0
2006-01-09,1508,2963,3318,0.45449065702230257,34569,0,0.0,22.9237400530504,35.11472148541114,0.5503978779840849,830,167,1341,0
2006-01-10,1505,2951,3444,0.4369918699186992,34465,0,0.0,22.900332225913623,35.690365448504984,0.5528239202657808,832,126,1379,0
2006-01-11,1509,2945,3570,0.4226890756302521,35467,0,0.0,23.50364479787939,35.68919814446654,0.538104705102717,812,126,1383,0
2006-01-12,1390,2993,3677,0.3780255643187381,26129,0,0.0,18.797841726618707,36.728776978417265,0.4510791366906475,627,107,1283,0
2006-01-13,1550,3027,3820,0.40575916230366493,36840,0,0.0,23.767741935483873,35.75290322580645,0.547741935483871,849,143,1407,0
2006-01-14,1626,3089,3962,0.4103987884906613,45656,0,0.0,28.07872078720787,35.12607626076261,0.6635916359163592,1079,142,1484,0
2006-01-15,1432,3035,4063,0.35244892936254,33654,0,0.0,23.501396648044693,36.562849162011176,0.4979050279329609,713,101,1331,0
2006-01-16,1292,3006,4171,0.30975785183409255,26682,0,0.0,20.651702786377708,37.68498452012384,0.46362229102167185,599,108,1184,0
