cohort_age_day,avg_retention_rate,retained_avatars,cohort_size_base
0,1.0,85380,85380
1,0.28623903693909597,24009,85372
2,0.19691022461871854,16527,85331
3,0.16472894987306924,13825,85295
4,0.14495593579627344,12269,85243
5,0.13314131237168905,11241,85206
6,0.1278387731256941,10785,85164
7,0.1247637415516731,10601,85098
8,0.11259596339354508,9590,85023
9,0.10498426455973714,8908,84965
10,0.10084164379063607,8457,84896
11,0.0961086416870152,8042,84838
12,0.09365648506074714,7813,84786
13,0.09155795060294906,7745,84734
14,0.0911560311496059,7855,84691
15,0.08724806381364222,7446,84621
16,0.08343766195774824,7090,84574
17,0.08047244342021703,6829,84541
18,0.07904693330962441,6762,84505
19,0.07749831990835021,6585,84457
20,0.07774037562334639,6599,84398
21,0.07899099071111768,6708,84347
22,0.07493583559981096,6389,84275
23,0.07151670526303042,6151,84223
24,0.07046931154350872,6029,84171
25,0.06917915440050032,5939,84105
26,0.0673745846877385,5745,84043
27,0.0685925662072968,5841,83998
28,0.06965253260849838,6072,83909
29,0.06654930301666319,5816,83825
30,0.06410332019221866,5561,83765
